Artist,Title,Year,Instrument,Genre,ID,Danceability,Energy,Valence,Tempo,Duration_MS
Don Scavone,Willie on Glock (Y2K Mix),2000,Drums,Hip-Hop / Rap / R&B,,,,,,
Re-Charge,Feelings,1995,Drums,Electronic / Dance,,,,,,
The Wildlife Collective,Good Looking Gal,2010,Drums,Electronic / Dance,,,,,,
Ron Tom,Give Me Da Weed,1995,Drums,Electronic / Dance,,,,,,
Naughty Naughty,Untitled (Vol 11a),1994,Drums,Electronic / Dance,,,,,,
DJ Food,Scratch Yer Hed (Squarepusher Remix),1996,Drums,Electronic / Dance,,,,,,
Souljah,Fade 2 Black,1998,Drums,Electronic / Dance,5LwGOklwwONQkBeaENLMc1,,,,,
Atari Teenage Riot,We Got the Fucking Power,2002,Drums,Electronic / Dance,6cDTYPH5dfWzHSfbKZxAz1,,,,,
Just Jungle,Next Sound,1996,Drums,Electronic / Dance,,,,,,
Scott Brown and Omar Santana,Aint It Wild,1995,Drums,Electronic / Dance,,,,,,
Calibre,Gemini,2004,Drums,Electronic / Dance,7IuHPGgjTyusF87i48agQD,,,,,
Profound,The Next Thang,1997,Drums,Electronic / Dance,,,,,,
Studio Pressure,First Sequence,1994,Drums,Electronic / Dance,,,,,,
Rude and Deadly,Murder De Boy,1995,Drums,Electronic / Dance,,,,,,
Tatsuyuki Maeda,Techno Base Act 2,2002,Drums,Soundtrack,,,,,,
Hideki Naganuma,Drive Me Mad for Select,1999,Drums,Soundtrack,,,,,,
"DJ Ham, DJ Demo and Justin Time",Here I Am,1996,Multiple Elements,Electronic / Dance,,,,,,
Current Value,Polar Position,2010,Drums,Electronic / Dance,2pZyFDyCp7eZlJ9mg0ZIvj,,,,,
Venetian Snares,Sound Burglar,2010,Drums,Electronic / Dance,67ae7KFyK88VMXzOzyEA2P,,,,,
Jonny L,I'm Leavin',1995,Drums,Electronic / Dance,,,,,,
"PISS SPEARS, $44,000 and Bobby Zilch",The CEILING COULD NEVER HOLD US,2014,Drums,Electronic / Dance,,,,,,
Hideki Naganuma,Drive Me Mad,1999,Drums,Soundtrack,,,,,,
DJ Donna Summer,Chicken Dance,2009,Drums,Electronic / Dance,7hGjdJQ9GdAHGstrmz1T4H,,,,,
DJ Paul Elstak,Pump This Party,1994,Drums,Electronic / Dance,2Rew7ur63GXXtDoZMskycH,,,,,
Alk-E-D,Home,1995,Drums,Electronic / Dance,1vGQLAYKP6k4LzdH33YOan,,,,,
Euphonique,Amen Sister,2011,Drums,Electronic / Dance,3LnGKTEdGdx4iLR4YymtnY,,,,,
"Jus Def, X-Town Posse and The Original X",2 Steps Above the Law,1990,Drums,Hip-Hop / Rap / R&B,,,,,,
Naughty Naughty,Untitled (Vol 1a),1993,Drums,Electronic / Dance,,,,,,
Rebel Alliance,Sometimes,1995,Drums,Electronic / Dance,,,,,,
Kele Okereke,On the Lam,2010,Drums,Electronic / Dance,,,,,,
Subliminal,Big Up,1995,Drums,Electronic / Dance,,,,,,
Mole the Dipper,Global Depth,1993,Drums,Electronic / Dance,,,,,,
Rudimental,Speeding (Benton Remix),2011,Drums,Electronic / Dance,,,,,,
Renard,F the World,2012,Drums,Electronic / Dance,,,,,,
DJ Kev,Happy Trax Volume 2 (B),1993,Drums,Electronic / Dance,,,,,,
Swift & Zinc,Hit Me,1993,Drums,Electronic / Dance,,,,,,
Ice Minus,Clones,2004,Drums,Electronic / Dance,,,,,,
E.P.S. Man,Shockout,1995,Drums,Electronic / Dance,,,,,,
wosX,Entrance,2015,Drums,Electronic / Dance,4zOU93uyWGVTqAxb1My3tq,,,,,
Jimmy J & Cru-L-T,DJ's in Full Effect,1995,Drums,Electronic / Dance,1PtLzo1BxdrYw0LoYGFPVE,,,,,
Gang Related & Mask,Ready or Not,1996,Drums,Electronic / Dance,,,,,,
Logistics,We Are One (Nu:Logic Remix),2012,Drums,Electronic / Dance,,,,,,
Noise Factory,Come Inside,1993,Drums,Electronic / Dance,,,,,,
Trus'me,Our Future (Answer Code Request Remix 2),2017,Drums,Electronic / Dance,1zNT7pvqhB4I2JCebiltvF,,,,,
Dr. Mario,Crimson Stars First Lesson,1999,Drums,Other,4E8V4EZpViGZzp6xuMAtPn,,,,,
The Insiders,Feel the Music,2002,Drums,Electronic / Dance,,,,,,
DJ Rap,Rumble,1996,Drums,Electronic / Dance,,,,,,
MC Destruction,Blow of Death,1990,Drums,Hip-Hop / Rap / R&B,,,,,,
Interception,Music X-Press,1995,Drums,Electronic / Dance,,,,,,
Amen Andrews and Spac Hand Luke,Barrave,2006,Drums,Electronic / Dance,,,,,,
The Underworld,Big Up Your Chest,1995,Drums,Electronic / Dance,,,,,,
"Billy ""Daniel"" Bunter and D-Zyne",Ride Like the Wind,1995,Drums,Electronic / Dance,4Peca8vRTYrEwgzPrCQIXx,,,,,
DJ Vibes,Obsession (Music's So Wonderful),1993,Drums,Electronic / Dance,,,,,,
J.G. Thirlwell,Assclamp!,2009,Drums,Soundtrack,4kb9pQRrU3Ix0OFLWj5YXS,,,,,
Innervisions,Southern Comfort,1996,Drums,Electronic / Dance,,,,,,
Hellfish,Headbanger,1997,Drums,Electronic / Dance,37jJNJuxLoPAQqmNpBSULz,,,,,
Alaska and Paradox,Mauja,2009,Drums,Electronic / Dance,,,,,,
Naughty Naughty,Untitled (Vol 11b),1994,Drums,Electronic / Dance,,,,,,
London Elektricity,Yikes!,2011,Drums,Electronic / Dance,7LgDYxty7emq60aZgo4kXO,,,,,
Party Animals,My Way,1997,Drums,Electronic / Dance,1aOZqXOH1RDR4ZVKX23VID,,,,,
The A.T.E.E.M.,Come,1992,Drums,Hip-Hop / Rap / R&B,,,,,,
Noise (Dave Simms) and Paradox,A Timeless Existence,1998,Drums,Electronic / Dance,,,,,,
Nucleus and Paradox,Tell Me the Truth,2004,Drums,Electronic / Dance,5wBd6G7ddZHrtCs0qPcnME,,,,,
3 Steps Ahead,It's Delicious (Buzz Fuzz Mix),1997,Multiple Elements,Electronic / Dance,,,,,,
Benga,Higher,2013,Drums,Electronic / Dance,,,,,,
DJ Zinc,Ready or Not (DJ Zinc Remix),1996,Drums,Electronic / Dance,,,,,,
Nasty Jungle,I Need U Now,1994,Drums,Electronic / Dance,3Y20J7C9Hl5Xw6cukYCFrh,,,,,
Da Intalex,I Like It (Remix),1995,Drums,Electronic / Dance,,,,,,
DJ Spooky and DJ Soul Slinger,Abducted (U.F.O. Mix),1996,Drums,Electronic / Dance,,,,,,
Nico (Drum & Bass),Omen (Direct Cut),1997,Drums,Electronic / Dance,,,,,,
Jungle Warrior,No Surrender,1994,Drums,Electronic / Dance,,,,,,
After Dark,Truly One,1994,Drums,Electronic / Dance,,,,,,
Badd 102,All Crew,1993,Drums,Electronic / Dance,,,,,,
Atari Teenage Riot,Collapse of History,2011,Drums,Electronic / Dance,0zwQDTnMVipFftBiGtbflU,,,,,
Christoph De Babalon,What You Call a Life,1997,Drums,Electronic / Dance,4w820mv7vJr3yULKBhQqHP,,,,,
Young Ax,Higher Ground,2008,Drums,Electronic / Dance,3Z27IkR5b68Z6CWpLjqmrl,,,,,
Heavyweight,The Source,1995,Drums,Electronic / Dance,,,,,,
Asend,This Time,1995,Drums,Electronic / Dance,,,,,,
Amen Andrews,100001 Style,2003,Drums,Electronic / Dance,,,,,,
The Clifford Gilberto Rhythm Combination,Earth vs. Me,1998,Drums,Electronic / Dance,0z22WaiRDz3W76s0rupkQR,,,,,
The Junglites,Who De Bombo Clart,1994,Drums,Electronic / Dance,,,,,,
Dred Bass,Technology (Remix),1998,Drums,Electronic / Dance,,,,,,
Akasha,Akasha Theme (Smug Brothers Big Old Unit Mix),1999,Drums,Electronic / Dance,1hBW0afST0dGrxef4zbnhN,,,,,
Danny Byrd,Blaze the Fire (Rah!) (Stray Remix),2012,Drums,Electronic / Dance,5IxBYsKjI2ThLCbmLye8ej,,,,,
Technical Itch,Analysis,2000,Drums,Electronic / Dance,,,,,,
Mist:i:cal,Time to Fly,2007,Drums,Electronic / Dance,,,,,,
Luke Vibert,Don't Fuck Around,2015,Drums,Electronic / Dance,3utkpUFYT7SmbXXBVSzO8w,,,,,
Jonny L,More Life,1995,Drums,Electronic / Dance,,,,,,
"Alexander ""Siren"" Brandon",Organic,1999,Drums,Electronic / Dance,,,,,,
Freaky Flow and PJ,On the Down Low,1997,Drums,Electronic / Dance,,,,,,
2 Croozin',2 Pumpin',1994,Drums,Electronic / Dance,0MlDtyQXb4yW4UM6OReaHz,,,,,
Squarepusher,Exjag Nives,2015,Drums,Electronic / Dance,7H7b4quKDNtV3JZ3eI0N6I,,,,,
Tom and Jerry,Escape,1993,Drums,Electronic / Dance,,,,,,
Aladdin (Drum & Bass),Magic Carpet,1994,Drums,Electronic / Dance,,,,,,
Alpha Omega,Don't Believe It,2001,Drums,Electronic / Dance,,,,,,
Amen Andrews,London,2003,Drums,Electronic / Dance,,,,,,
Rude Bwoy Monty,Out in Da Streets,1994,Drums,Electronic / Dance,,,,,,
B Key,Dimenxion X,2000,Drums,Electronic / Dance,,,,,,
The Undergraduates,Into Da Future (Massive Mix),1993,Drums,Electronic / Dance,,,,,,
Rotating Heads,Dark Secrets,1993,Drums,Electronic / Dance,,,,,,
Atomic Dog,Step Into Lite,1995,Drums,Electronic / Dance,,,,,,
Dr. Mario,Beg 4 Life,1999,Drums,Electronic / Dance,,,,,,
A-Sides,Jurassic Park,1993,Drums,Electronic / Dance,,,,,,
Naughty Naughty,Untitled (Vol 9a),1994,Drums,Electronic / Dance,,,,,,
DJ Pooch,How It Started,1995,Drums,Electronic / Dance,6d1NXEUoljNYbHEou9yVF5,,,,,
Manifest (Drum & Bass),O.G. Returns,2004,Drums,Electronic / Dance,,,,,,
Sub Focus,Turn Back Time (Special Request Remix),2013,Drums,Electronic / Dance,41QljOsHNp47KBAr8BanQZ,,,,,
A Guy Called Gerald,Life Unfolds His Mistery,1995,Drums,Electronic / Dance,,,,,,
FFF (2),Sell Out,2002,Drums,Electronic / Dance,,,,,,
Slipmatt,Hear Me,1994,Drums,Electronic / Dance,0PfKMYNbwiP6WTXsZ4DR5D,,,,,
Da Intalex,Mercy,1995,Drums,Electronic / Dance,,,,,,
Essence of Aura,So This Is Love,1995,Drums,Electronic / Dance,,,,,,
Limewax,Everything,2006,Drums,Electronic / Dance,4esfxVLULC6iVV5wtUrpJ0,,,,,
Ice Minus,Zen,1998,Drums,Electronic / Dance,1liRtGMQz1VLyBzc3FfTvZ,,,,,
Tim Exile,Post-Finger-Disorder Disorder,2006,Drums,Electronic / Dance,,,,,,
Bizzy B,2099 Dub,2006,Drums,Electronic / Dance,090fdLFNlfOqRASf0imX0g,,,,,
Just Jungle,Rolling Gats,1996,Drums,Electronic / Dance,,,,,,
Alec Empire,Bass Terror,2008,Drums,Electronic / Dance,3rQX9FqpdpyMf9aadlMVqx,,,,,
Plug,Here It Comes,2006,Drums,Electronic / Dance,,,,,,
Amen Andrews,DX,2003,Drums,Electronic / Dance,,,,,,
Intense,The Dreamer,1994,Drums,Electronic / Dance,,,,,,
Jaco (Jungle),All the Ladies,1995,Drums,Electronic / Dance,,,,,,
Intense,1st Contact,1996,Drums,Electronic / Dance,,,,,,
The Insiders,Back & Forth,2005,Drums,Electronic / Dance,,,,,,
Different Vibe,Can You Feel It,1994,Drums,Electronic / Dance,3FSZW77jM9lB35tHWMPxGl,,,,,
Equinox,Antarctica,2006,Drums,Electronic / Dance,3sRFDM6wA9OR2x1dlkZDbp,,,,,
μ-Ziq,The Motorbike Track,1999,Drums,Electronic / Dance,2mJ4mkOHRqtEWL8YvI514L,,,,,
Killingscum,Mad Invaderz,2003,Drums,Electronic / Dance,,,,,,
Kitsune²,Smashtro,2009,Drums,Electronic / Dance,,,,,,
Rabit and Dedekind Cut,R&D-i,2016,Drums,Electronic / Dance,,,,,,
Dr. Lefty,Ah Shwe Bah,2006,Drums,Electronic / Dance,,,,,,
Future Cut,Whiplash,1999,Drums,Electronic / Dance,3yyf64idbvBm0XN7JRaEMv,,,,,
Technimatic,Lost Time,2014,Drums,Electronic / Dance,54NmTS5z3Fqk75YyaIDWce,,,,,
Technical Itch and Dylan,One Nation Over God,2012,Drums,Electronic / Dance,,,,,,
Bougenvilla,Take It Back,2015,Drums,Electronic / Dance,2uObV8XRNHqm76oKmdRrfw,,,,,
Vice Versa,Where It's At,2007,Drums,Electronic / Dance,,,,,,
Limewax,Seed,2006,Drums,Electronic / Dance,1pOl8I3yTooMzsWYApFGaz,,,,,
Bay B Kane,Giant Steps,1993,Drums,Electronic / Dance,,,,,,
Bay B Kane,Let Me Go,1994,Drums,Electronic / Dance,14Y8zHuMASr5YobVfmjSuo,,,,,
Venetian Snares,Koonut Kaliffee,2008,Drums,Electronic / Dance,0KSoK19ylvTvahfsDu0EBY,,,,,
DJ the Stallion,Succers,1997,Drums,Electronic / Dance,,,,,,
Wax Doctor,The Step,1995,Drums,Electronic / Dance,2uZKcFwnvtX0c9bIvX0l3k,,,,,
Machine Code,Fried Bread,2011,Drums,Electronic / Dance,4E7D1UUaGebv7OM1ZXQPPf,,,,,
Future Primitive,The Way,2002,Drums,Electronic / Dance,74QxUP6ivGBs64AfnuM7xf,,,,,
Rawhill Cru,Mo' Fire (Bad Company UK Mix),2002,Drums,Electronic / Dance,,,,,,
Soulproof,Inna Dem Clothes,2005,Drums,Electronic / Dance,5A8DVjdGYfq4TOURcxirXh,,,,,
Leon Mar,Tha Men Who Fell to Earth,1996,Drums,Electronic / Dance,,,,,,
The Untouchables (3),Njoi This,1993,Drums,Electronic / Dance,,,,,,
Danny Byrd,Amen Alley,2010,Drums,Electronic / Dance,6tLJ6mFVWpHzS8Y3qjp7uq,,,,,
Mad Dog,My God,1994,Drums,Electronic / Dance,,,,,,
Mustard Pimp,Renegade (SPL Remix),2015,Drums,Electronic / Dance,,,,,,
SPL,Deus Ex Machina,2006,Drums,Electronic / Dance,,,,,,
Tic Tac Toe (Breakbeat),456,1992,Drums,Electronic / Dance,,,,,,
Oaysis,Incredible Bass (Slipmatt-Awaited Remix),1996,Drums,Electronic / Dance,,,,,,
Blame,Point Four,2001,Drums,Electronic / Dance,,,,,,
Scott Brown,I Don't Need Nobody,1999,Drums,Electronic / Dance,6cZeoNg0B11dXLHAy6bqu4,,,,,
Special Request,Soundboy Killer,2013,Drums,Electronic / Dance,5PlLmxj1QhT9bicFbmTmGz,,,,,
Ellis Dee,Lockdown,1995,Drums,Electronic / Dance,,,,,,
Red One,Alive 'N' Kickin',1994,Drums,Electronic / Dance,,,,,,
Passenger of Shit,De Volgende Keer Lik Ik Je Honds Anus,2008,Drums,Electronic / Dance,,,,,,
DJ Ruffneck and Juggernaut,I'm a Ruffneck !!!,1997,Drums,Electronic / Dance,,,,,,
Peshay,The Nocturnal (Back on the Firm),1996,Drums,Electronic / Dance,2aihfdogDup1Mc6fbN1wMC,,,,,
Charly Lownoise and Mental Theo,White Borderline,1998,Drums,Electronic / Dance,,,,,,
J-Zbel,Nem De Porc,2016,Drums,Electronic / Dance,,,,,,
Headrillaz,Weird Planet,1996,Drums,Electronic / Dance,,,,,,
Baraka (Jungle) and Master Laquar,A Million & One,1995,Drums,Electronic / Dance,,,,,,
DJ Hooligan,B.O.T.T.R.O.P.,1992,Drums,Electronic / Dance,537yEVcakHIt63GQf8eE2D,,,,,
Danny Byrd,Hot Fuzz,2010,Drums,Electronic / Dance,6xxjvLaY7RNyE7iTZyfreb,,,,,
Secret Chiefs 3,Jãbalqã,1998,Drums,World,2NZAvhdjzIKkl1UjCscHPp,,,,,
Venetian Snares,Crackest,2000,Drums,Electronic / Dance,,,,,,
The Range,No Loss,2016,Drums,Electronic / Dance,7DLzmn8oCjdS5BMFemhKAl,,,,,
PFM,Wash Over Me,1995,Drums,Electronic / Dance,680d7bhH283256bubEKUkc,,,,,
Technical Itch,Elevation (SPL Remix),2005,Drums,Electronic / Dance,,,,,,
Future Engineers,The Silence,1997,Drums,Electronic / Dance,,,,,,
DJ Shadow,Enuff (DJ Fresh Remix),2007,Drums,Electronic / Dance,,,,,,
Renegade,Dark Soldier Part 1,1996,Drums,Electronic / Dance,,,,,,
PCK,Amen Garage,2015,Drums,Electronic / Dance,3NF3S3GhWRAUcgJ1VAxSCx,,,,,
Twin Terror,I Feel Alive (Terror Mix),1996,Drums,Electronic / Dance,,,,,,
Ultramagnetic MC's,I Ain't Takin' No Shorts,1996,Drums,Hip-Hop / Rap / R&B,1d7XxLzldQnPhV1s1auC9v,,,,,
Technical Itch,Dream Strike,2004,Drums,Electronic / Dance,,,,,,
Back-On,Chain (Follow Up 30 Mix),2007,Drums,Soundtrack,,,,,,
Breakage,Prophecy,2005,Drums,Electronic / Dance,,,,,,
The Snake (Hardcore),Let the Bass,1996,Drums,Electronic / Dance,,,,,,
Om Unit,Understand,2014,Drums,Electronic / Dance,5k5W1CeTYk4IakLfK5lSjG,,,,,
Potential Bad Boy,Bring Your Body,1994,Drums,Electronic / Dance,,,,,,
City Connection,Loosing My Mind,1995,Drums,Electronic / Dance,,,,,,
Swift & Zinc,The Secret,1994,Drums,Electronic / Dance,,,,,,
Cool Hand Flex,Must Feel,1994,Drums,Electronic / Dance,72NhV02GgPA6BEm00z7gum,,,,,
Naughty Naughty,Stay Here,1994,Drums,Electronic / Dance,,,,,,
B-Jam,Scandalous,1995,Drums,Electronic / Dance,,,,,,
Ed Rush and Nico (Drum & Bass),Technology,1997,Drums,Electronic / Dance,,,,,,
The Dream Team,Lion,1995,Drums,Electronic / Dance,,,,,,
SPL,Wipeout,2009,Drums,Electronic / Dance,6a8xyUQJ49PLfGxYpjvxQk,,,,,
Funki Porcini,King Ashabanapal (Dillinja Mix),1995,Drums,Electronic / Dance,,,,,,
Leisure-B,Theme Song Six,2004,Drums,Electronic / Dance,71dEfHOIv7FJhxYnhlzNEo,,,,,
B-Chill,Illegal Activity,1991,Drums,Hip-Hop / Rap / R&B,,,,,,
Equinox,Looking at the Moon,2011,Drums,Electronic / Dance,,,,,,
Zero Tolerance and Beta 2,Bizzy Time,2003,Drums,Electronic / Dance,,,,,,
Wraggy & Riggler,A Better Day,1994,Drums,Electronic / Dance,,,,,,
Straight TMK,Tell the World My Name,1991,Drums,Hip-Hop / Rap / R&B,,,,,,
Beat Connection,Sunburn,2011,Drums,Rock / Pop,2XMfp9KZcccqZ1mKgtDSXi,,,,,
Jack Frost and B.A.N.M.E.,A Day in Detroit,1992,Drums,Hip-Hop / Rap / R&B,,,,,,
Lenny Fontana and Black Sun,Spread Love (Nu:Tone Remix),2003,Drums,Electronic / Dance,,,,,,
DJ Red Alert & Mike Slammer,In Effect,1993,Drums,Electronic / Dance,0BtJdmgDUXyAyJSrecq6Dj,,,,,
Luke Vibert,Ghetto Blast Ya,2015,Drums,Electronic / Dance,372NNjHvZ51ASOhvEb1xQM,,,,,
Motive One,Loop Progression,1997,Drums,Electronic / Dance,,,,,,
Authorised Riddim,Navigators Path,1994,Drums,Electronic / Dance,31ayuHumfawXPHK2LEYnTH,,,,,
Nucleus and Paradox,Exoteric,2004,Drums,Electronic / Dance,,,,,,
Intense,Ecstatic,1995,Drums,Electronic / Dance,,,,,,
Will & Florian,Worked Out,2014,Drums,Electronic / Dance,,,,,,
DJ Skull Vomit,Antigoon (Stazma Illegally Violent Remix),2013,Drums,Electronic / Dance,,,,,,
Venetian Snares,Red Orange 2,2015,Drums,Electronic / Dance,2EHDtlQE5ZoGXPDfNsdy3K,,,,,
Redrose,Hotter Junglematical Style (Drum'n'bass),1995,Drums,Electronic / Dance,,,,,,
Dom & Roland,Deckers Theme,2007,Drums,Electronic / Dance,54VPWvNrqOJ0IVy06KB8y2,,,,,
Deadbeat,Woah!,2014,Drums,Electronic / Dance,0Alnjao9gshPTJlN1JxYu3,,,,,
Kitcaliber,Broken City,2010,Drums,Electronic / Dance,,,,,,
DJ Fistfuck,Pussy Poison,1994,Drums,Electronic / Dance,,,,,,
Amen Andrews and Spac Hand Luke,Junglism,2006,Drums,Electronic / Dance,,,,,,
Ant to Be,Feeling This,2017,Drums,Electronic / Dance,,,,,,
Venetian Snares,Ghetto Body Buddy,2003,Drums,Electronic / Dance,0BcNg43SgYgj3HujjB4gNs,,,,,
Bong-Ra,Murder You,2005,Drums,Electronic / Dance,3y5TANoxXlxCcIoWuINTZc,,,,,
Example,Changed the Way You Kiss Me (Friction Remix),2011,Drums,Electronic / Dance,28a6kr5Pxf5Bh3PC1Kg690,,,,,
Parallel World,Tear Into It,1994,Drums,Electronic / Dance,,,,,,
Majistrate,Big Tings,1994,Drums,Electronic / Dance,,,,,,
Equinox,Acid Rain V.I.P. (Breakage Final Chapter Mix),2006,Drums,Electronic / Dance,1w5duvrQGlVDFQZFN0ebMm,,,,,
Enduser,Fuck Up the System,2005,Drums,Electronic / Dance,13NaPqjsNpwCnydYtoBLvR,,,,,
DJ Crystl,Meditation,1993,Drums,Electronic / Dance,,,,,,
Son of Kick,Hours (SPL Remix),2014,Drums,Electronic / Dance,7t25rliDodq3kUbD47P3cX,,,,,
Swift & Zinc,Heavenly Dreams,1995,Drums,Electronic / Dance,,,,,,
Naughty Naughty,Untitled (Vol 4a),1993,Drums,Electronic / Dance,,,,,,
Soultec,Qui·E·tus,2008,Drums,Electronic / Dance,,,,,,
Jaco (Jungle),Wicked Every Time,1995,Drums,Electronic / Dance,,,,,,
Brainkillers,Screwface,1994,Drums,Electronic / Dance,,,,,,
Bizzy B,Slow Jam,1993,Drums,Electronic / Dance,7ycoa50VCksCdFVqwVdAcK,,,,,
Nasty Habits,Dark Angel,1992,Drums,Electronic / Dance,14rxTffKkwfpP5fd0SOOnK,,,,,
Wilkinson,Need You,2013,Drums,Electronic / Dance,0VlXMcYt5chhTTTriaPoAy,,,,,
Amen Andrews,Amen HQ,2014,Drums,Electronic / Dance,7nK6y8s58lLDdguYbC4lTF,,,,,
Fuzion Frenzy,New York,2001,Drums,Rock / Pop,,,,,,
Cold Mission,Comin’ on Strong,1995,Drums,Electronic / Dance,1icEMtq6ARSzXBP9RjJUEy,,,,,
Manix,Rainbow People,1992,Drums,Electronic / Dance,3AvHq9TTTJtDQNBqKOgtIU,,,,,
Gremlinz and Aspect,Kilo VIP,2013,Drums,Electronic / Dance,,,,,,
Nookie,Celebrate Life,2008,Drums,Electronic / Dance,0xYocKWxzJ0fXsfAZUpJvp,,,,,
Amen Andrews,Guilty,2003,Drums,Electronic / Dance,,,,,,
Killa Instinct,The Bambi Murders,1992,Drums,Hip-Hop / Rap / R&B,303QgU9odC27bxLEC2h4Yq,,,,,
SMD,SMD#3 (Side A),1994,Drums,Electronic / Dance,,,,,,
Carlito (Drum & Bass),Grapevine,1996,Drums,Electronic / Dance,,,,,,
The Folk Implosion,One Part Lullaby,1999,Drums,Rock / Pop,,,,,,
Will Miles,Eye Believe,2008,Drums,Electronic / Dance,,,,,,
DJ Hvad,Børnene Sædspules Sommersøndag I Dyrehaven,2009,Drums,Electronic / Dance,,,,,,
Masahiko Hataya and Masaki Kase,Neo Tokyo 2015,1999,Drums,Soundtrack,,,,,,
Naughty Naughty,Jus a Test,1994,Drums,Electronic / Dance,,,,,,
DJ Paul Elstak,Musica Rave,1995,Drums,Electronic / Dance,6ocLGDAHn2bWb8xhGBlL9w,,,,,
Cru-L-T,Snow in Summer,1994,Drums,Electronic / Dance,6WgL3Vye71Yb2wcTwZEnne,,,,,
Bizzy B and Equinox,The Brain Records Crew,1993,Drums,Electronic / Dance,,,,,,
Dom & Roland,Analysis,1997,Multiple Elements,Electronic / Dance,,,,,,
Limewax,He Will Find Us,2007,Drums,Electronic / Dance,1XVg3Iq2yEHCnnH71f8w5Q,,,,,
Technical Itch,Life of Sin (Limewax Remix),2005,Drums,Electronic / Dance,,,,,,
Stranjah,End of Days,2011,Drums,Electronic / Dance,1hQn1DBJBCoyHjmIoXCLKR,,,,,
Equinox,All Massive,2014,Drums,Electronic / Dance,,,,,,
Sasha Jan Rezzie,Thinking Too Loud?,2016,Drums,Electronic / Dance,1wlaEvpMn2LF24gQftmciR,,,,,
Just Jungle,Pause Tearout,1996,Drums,Electronic / Dance,,,,,,
Paradox,Perhaps the Future,2010,Drums,Electronic / Dance,,,,,,
Mystic & DJ Fire,True Love,1993,Drums,Electronic / Dance,,,,,,
Cleanhead,Time Clash,1995,Drums,Electronic / Dance,,,,,,
Teknarchi,Flashback,1993,Drums,Electronic / Dance,,,,,,
DJ Crazee M,Tribal Connections Pt. 2,1993,Drums,Electronic / Dance,,,,,,
Brown & Dangerman,Distorted Minds,1995,Drums,Electronic / Dance,,,,,,
Ant to Be,Stranges,2017,Drums,Electronic / Dance,,,,,,
Cutty Ranks,The Return (Bizzy B & Ruffkut Remix),1995,Drums,Electronic / Dance,,,,,,
2 Kilos ?,Drum Heads in the Sun,1991,Drums,Electronic / Dance,,,,,,
Doc Scott,Drumz '95 (Nasty Habits Remix),1995,Drums,Electronic / Dance,5HdQ6yVVTpY33RplufwMPy,,,,,
Roger Ruff,Do Ya (Original Mix),1998,Drums,Electronic / Dance,,,,,,
Kors K,I'm on Fire,2015,Drums,Electronic / Dance,7fKiP5vk5P8QYXYXkq9GU8,,,,,
Funktasztikus,Funk Fundamentál - Nincs Póz,2014,Drums,Hip-Hop / Rap / R&B,7c9VzZrtRfV5pHSO8CMOj0,,,,,
DJ SS,Rollidge,1995,Drums,Electronic / Dance,5ZatCRsdiXMXT0e2iob7XI,,,,,
Amen Orchestra,Noan Ame 17,2006,Drums,Electronic / Dance,,,,,,
Digital,Teacher,2016,Drums,Electronic / Dance,7yYgKvtFbyekjuaWWgXzmZ,,,,,
EMF,They're Here (Mosh Mix),1992,Drums,Rock / Pop,0yPOsJYBbyg01u3Nc0dcFD,,,,,
Example,Never Had a Day,2011,Drums,Electronic / Dance,3XWqp5lWX7AREoZcClhKVH,,,,,
Marvellous Cain,Hitman,1994,Drums,Electronic / Dance,5Yjpqe18bU8SNl8LHnreGN,,,,,
808 State,Azura (A Mix by Dillinja),1996,Drums,Electronic / Dance,1SFEyQ2IMNEIi7VPxBTooj,,,,,
I:Gor,4 My Soldiers,2010,Drums,Electronic / Dance,,,,,,
Shaun Frank,Mind Made Up,2015,Drums,Electronic / Dance,,,,,,
Liroy,Cartoon Killa,1997,Drums,Hip-Hop / Rap / R&B,,,,,,
Deadcode,Ratatata,2016,Drums,Electronic / Dance,287ZHnos10LWyvaFBs6n6B,,,,,
Beyond the Future,Warped Science,1993,Drums,Electronic / Dance,,,,,,
Naughty Naughty,Untitled (Vol 3b),1993,Drums,Electronic / Dance,,,,,,
Nebula,Destiny,2009,Drums,Electronic / Dance,,,,,,
Equinox,Acid Rain (Breakage Century 47 Remix),2004,Drums,Electronic / Dance,,,,,,
Dred Bass,Baby Tears,1995,Drums,Electronic / Dance,,,,,,
Sons of Da Noize,Tell Me,1994,Drums,Electronic / Dance,,,,,,
Desired State,Here & Now,1995,Drums,Electronic / Dance,53XwqmCd5m7NNtyjdgeJnN,,,,,
Vofa,PI05.2,2018,Drums,Electronic / Dance,,,,,,
Nucleus and Paradox,Cabalistic,2007,Drums,Electronic / Dance,,,,,,
dgoHn,Untitled Pig Dog,2016,Drums,Electronic / Dance,2eTSOT83apCUK8Sh9ZJsEa,,,,,
Akkord,Continuum,2014,Drums,Electronic / Dance,2ZPsayJG6MCnQT5CkOmJf2,,,,,
Etch,The Scientists (Breakology),2015,Drums,Electronic / Dance,,,,,,
Limewax,Untitled 666,2006,Drums,Electronic / Dance,5GrhjD7kd6Mt4cSFqpwbdk,,,,,
Capital J,Diss Da Program,2001,Drums,Electronic / Dance,,,,,,
Caspa,Reach for the Sky,2013,Drums,Electronic / Dance,0KDIW1QikEXXbzy9HKz530,,,,,
